r_cm,snr,area_norm_r,energy_density,width_rel,snr_variance,echo_consistency,material
97.0,44.93,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
97.0,44.93,2352.148286334632,371.8374699671338,6.33325557667194,2.4198327500000008,6407.3052341429,Cardboard
105.4,20.29,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.29,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.29,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.07,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.07,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.07,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.07,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.07,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,20.07,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.0,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.0,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.0,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.0,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.0,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.8,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.8,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.8,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.8,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.4,19.8,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
105.5,19.08,1569.5530711260194,191.30060815898355,8.205615781001285,0.23716275,445.3504310933161,Cardboard
117.7,32.12,2119.7435530276125,295.7131123745286,7.170611804341405,1.0584189999999984,2355.680106381161,Cardboard
117.7,32.12,2119.7435530276125,295.7131123745286,7.170611804341405,1.0584189999999984,2355.680106381161,Cardboard
117.7,32.12,2119.7435530276125,295.7131123745286,7.170611804341405,1.0584189999999984,2355.680106381161,Cardboard
117.7,32.12,2119.7435530276125,295.7131123745286,7.170611804341405,1.0584189999999984,2355.680106381161,Cardboard
